,Category,Message
48,not-spam,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
49,not-spam,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
50,not-spam,What you thinked about me. First time you saw me in class.
51,not-spam,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
52,not-spam,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
53,not-spam,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
55,not-spam,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
57,not-spam,"Sorry, I'll call later in meeting."
58,not-spam,Tell where you reached
59,not-spam,Yes..gauti and sehwag out of odi series.
60,not-spam,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
61,not-spam,Ha ha ha good joke. Girls are situation seekers.
62,not-spam,Its a part of checking IQ
63,not-spam,"Sorry my roommates took forever, it ok if I come by now?"
64,not-spam,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
66,not-spam,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
69,not-spam,I plane to give on this month end.
70,not-spam,Wah lucky man... Then can save money... Hee...
71,not-spam,Finished class where are you.
72,not-spam,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
73,not-spam,K..k:)where are you?how did you performed?
74,not-spam,U can call me now...
75,not-spam,I am waiting machan. Call me once you free.
76,not-spam,Thats cool. i am a gentleman and will treat you with dignity and respect.
77,not-spam,I like you peoples very much:) but am very shy pa.
78,not-spam,Does not operate after  &lt;#&gt;  or what
79,not-spam,Its not the same here. Still looking for a job. How much do Ta's earn there.
80,not-spam,"Sorry, I'll call later"
81,not-spam,K. Did you call me just now ah?
82,not-spam,Ok i am on the way to home hi hi
83,not-spam,You will be in the place of that man
84,not-spam,Yup next stop.
85,not-spam,"I call you later, don't have network. If urgnt, sms me."
86,not-spam,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
87,not-spam,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
88,not-spam,I'm really not up to it still tonight babe
89,not-spam,"Ela kano.,il download, come wen ur free.."
90,not-spam,Yeah do! Don‘t stand to close tho- you‘ll catch something!
91,not-spam,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
92,not-spam,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
94,not-spam,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
96,not-spam,Watching telugu movie..wat abt u?
97,not-spam,i see. When we finish we have loads of loans to pay
98,not-spam,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
99,not-spam,I see a cup of coffee animation
100,not-spam,Please don't text me anymore. I have nothing else to say.
101,not-spam,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
102,not-spam,I'm still looking for a car to buy. And have not gone 4the driving test yet.
103,not-spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
104,not-spam,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
105,not-spam,Umma my life and vava umma love you lot dear
106,not-spam,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
107,not-spam,"Aight, I'll hit you up when I get some cash"
108,not-spam,How would my ip address test that considering my computer isn't a minecraft server
109,not-spam,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
110,not-spam,Dont worry. I guess he's busy.
111,not-spam,What is the plural of the noun research?
112,not-spam,Going for dinner.msg you after.
113,not-spam,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
115,not-spam,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
116,not-spam,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
117,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
118,not-spam,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
119,not-spam,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
121,spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
122,not-spam,here is my new address -apples&pairs&all that malarky
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
124,not-spam,I am going to sao mu today. Will be done only at 12
125,not-spam,Ü predict wat time ü'll finish buying?
126,not-spam,"Good stuff, will do."
127,not-spam,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
128,not-spam,Are you there in room.
129,not-spam,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
130,not-spam,K..k:)how much does it cost?
131,not-spam,I'm home.
132,not-spam,"Dear, will call Tmorrow.pls accomodate."
133,not-spam,First answer my question.
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
136,not-spam,I only haf msn. It's yijue@hotmail.com
137,not-spam,He is there. You call and meet him
138,not-spam,No no. I will check all rooms befor activities
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
140,not-spam,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
141,not-spam,"K, text me when you're on the way"
142,not-spam,"Sir, Waiting for your mail."
143,not-spam,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
144,not-spam,I know you are. Can you pls open the back?
145,not-spam,Yes see ya not on the dot
146,not-spam,Whats the staff name who is taking class for us?
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
148,not-spam,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
149,not-spam,K..i deleted my contact that why?
150,not-spam,Sindu got job in birla soft ..
151,not-spam,The wine is flowing and i'm i have nevering..
152,not-spam,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
153,not-spam,Ok... Ur typical reply...
154,not-spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
155,not-spam,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
156,not-spam,Aaooooright are you at work?
157,not-spam,I'm leaving my house now...
158,not-spam,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
160,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
161,not-spam,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
162,not-spam,New car and house for my parents.:)i have only new job in hand:)
163,not-spam,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
166,not-spam,I place all ur points on e cultures module already.
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
168,not-spam,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
169,not-spam,Great escape. I fancy the bridge but needs her lager. See you tomo
170,not-spam,Yes :)it completely in out of form:)clark also utter waste.
171,not-spam,"Sir, I need AXIS BANK account no and bank address."
172,not-spam,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
173,not-spam,What time you coming down later?
174,not-spam,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
175,not-spam,"Well, i'm gonna finish my bath now. Have a good...fine night."
176,not-spam,Let me know when you've got the money so carlos can make the call
177,not-spam,U still going to the mall?
178,not-spam,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
179,not-spam,Text her. If she doesnt reply let me know so i can have her log in
180,not-spam,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
181,not-spam,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
182,not-spam,Lol no. U can trust me.
183,not-spam,ok. I am a gentleman and will treat you with dignity and respect.
184,not-spam,"He will, you guys close?"
185,not-spam,Going on nothing great.bye
186,not-spam,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
187,not-spam,"Haha awesome, be there in a minute"
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
189,not-spam,Have you got Xmas radio times. If not i will get it now
190,not-spam,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
192,not-spam,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
193,not-spam,Hi :)finally i completed the course:)
194,not-spam,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
195,not-spam,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
196,not-spam,Gud mrng dear hav a nice day
197,not-spam,Did u got that persons story
198,not-spam,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
199,not-spam,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
200,not-spam,"Found it, ENC  &lt;#&gt; , where you at?"
201,not-spam,I sent you  &lt;#&gt;  bucks
202,not-spam,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
203,not-spam,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
204,not-spam,Goodmorning sleeping ga.
205,not-spam,U call me alter at 11 ok.
206,not-spam,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
207,not-spam,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
208,not-spam,"Aight yo, dats straight dogg"
209,not-spam,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
210,not-spam,Both :) i shoot big loads so get ready!
211,not-spam,"What's up bruv, hope you had a great break. Do have a rewarding semester."
212,not-spam,Home so we can always chat
213,not-spam,K:)k:)good:)study well.
214,not-spam,Yup... How ü noe leh...
215,not-spam,Sounds great! Are you home now?
216,not-spam,Finally the match heading towards draw as your prediction.
217,not-spam,Tired. I haven't slept well the past few nights.
218,not-spam,Easy ah?sen got selected means its good..
219,not-spam,I have to take exam with march 3
220,not-spam,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
221,not-spam,Ok no prob. Take ur time.
222,not-spam,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
223,not-spam,"Sorry, I'll call later"
224,not-spam,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
225,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
226,not-spam,Would really appreciate if you call me. Just need someone to talk to.
227,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
228,not-spam,Hey company elama po mudyadhu.
229,not-spam,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
230,not-spam,Dear good morning now only i am up
231,not-spam,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
232,not-spam,Dear we are going to our rubber place
233,not-spam,"Sorry battery died, yeah I'm here"
234,not-spam,Yes:)here tv is always available in work place..
235,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
236,not-spam,I have printed it oh. So  &lt;#&gt;  come upstairs
237,not-spam,Or ill be a little closer like at the bus stop on the same street
238,not-spam,Where are you?when wil you reach here?
239,not-spam,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
240,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
241,not-spam,Tomarrow final hearing on my laptop case so i cant.
242,not-spam,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
243,not-spam,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
244,not-spam,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
245,not-spam,U don't remember that old commercial?
246,not-spam,Too late. I said i have the website. I didn't i have or dont have the slippers
247,not-spam,I asked you to call him now ok
248,not-spam,Kallis wont bat in 2nd innings.
249,not-spam,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
250,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
251,not-spam,Ranjith cal drpd Deeraj and deepak 5min hold
252,not-spam,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
253,not-spam,What you doing?how are you?
254,not-spam,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
255,not-spam,"I'm back, lemme know when you're ready"
256,not-spam,Don't necessarily expect it to be done before you get back though because I'm just now headin out
257,not-spam,Mmm so yummy babe ... Nice jolt to the suzy
258,not-spam,Where are you lover ? I need you ...
259,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
260,not-spam,I‘m parked next to a MINI!!!! When are you coming in today do you think?
261,not-spam,Yup
262,not-spam,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
263,not-spam,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
265,not-spam,Why you Dint come with us.
266,not-spam,Same. Wana plan a trip sometme then
267,not-spam,"Not sure yet, still trying to get a hold of him"
268,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
269,not-spam,The evo. I just had to download flash. Jealous?
270,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
271,not-spam,"Come to mu, we're sorting out our narcotics situation"
272,not-spam,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
273,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
274,not-spam,"Usf I guess, might as well take 1 car"
275,not-spam,No objection. My bf not coming.
276,not-spam,Thanx...
277,not-spam,Tell rob to mack his gf in the theater
278,not-spam,"Awesome, I'll see you in a bit"
279,not-spam,Just sent it. So what type of food do you like?
280,not-spam,All done? All handed in? Celebrations in full swing yet?
281,not-spam,You got called a tool?
282,not-spam,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
283,not-spam,Ok. I asked for money how far
284,not-spam,Okie...
285,not-spam,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
286,not-spam,"K, I might come by tonight then if my class lets out early"
287,not-spam,Ok..
288,not-spam,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
289,not-spam,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
290,not-spam,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
291,not-spam,Hey you told your name to gautham ah?
292,not-spam,Haf u found him? I feel so stupid da v cam was working.
293,not-spam,Oops. 4 got that bit.
294,not-spam,Are you this much buzy
295,not-spam,I accidentally deleted the message. Resend please.
296,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
297,not-spam,Unless it's a situation where YOU GO GURL would be more appropriate
298,not-spam,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
299,not-spam,I cant pick the phone right now. Pls send a message
300,not-spam,Need a coffee run tomo?Can't believe it's that time of week already
301,not-spam,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
302,not-spam,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
303,not-spam,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
304,not-spam,He is a womdarfull actor
305,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
306,not-spam,Yup... From what i remb... I think should be can book...
307,not-spam,Jos ask if u wana meet up?
308,not-spam,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
309,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
310,not-spam,Where are the garage keys? They aren't on the bookshelf
311,not-spam,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
312,spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
313,not-spam,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
314,not-spam,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
315,not-spam,You made my day. Do have a great day too.
316,not-spam,K.k:)advance happy pongal.
317,not-spam,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
318,not-spam,"Not really dude, have no friends i'm afraid :("
319,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
320,not-spam,"Coffee cake, i guess..."
321,not-spam,"Merry Christmas to you too babe, i love ya *kisses*"
322,not-spam,Hey... Why dont we just go watch x men and have lunch... Haha
323,not-spam,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
324,not-spam,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
325,not-spam,No problem. How are you doing?
326,not-spam,No calls..messages..missed calls
327,not-spam,Hi da:)how is the todays class?
328,not-spam,"I'd say that's a good sign but, well, you know my track record at reading women"
329,not-spam,"Cool, text me when you're parked"
330,not-spam,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
331,not-spam,K.k:)apo k.good movie.
332,not-spam,Maybe i could get book out tomo then return it immediately ..? Or something.
333,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
334,not-spam,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
335,spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
336,not-spam,"Ta-Daaaaa! I am home babe, are you still up ?"
337,not-spam,Cool. So how come you havent been wined and dined before?
338,not-spam,Just sleeping..and surfing
339,not-spam,"Sorry, I'll call later"
340,not-spam,U calling me right? Call my hand phone...
341,not-spam,Ok that's great thanx a lot.
